====================================================================================================
MONITEUR RADIO — 2026-09-03 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 65 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:35  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:29  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:53  🌐 échec réseau AzuraCast/Liquidsoap  (×60)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:00:12  COUPÉ 461s « 10 minutes »
          ↳ cause probable 00:01:35 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   12:25:21  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:01  TROU 61s « Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR - »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-03 (heures UTC)
319 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
03:30:27 BLOC_A_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  I Will Call Upon The Lord
03:35:34 BLOC_A_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
03:43:53 BLOC_A_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
03:49:12 BLOC_A_SERIE_DU_JOUR             10m47s     10m44s      -3s  ✅  Abba, Singing a, I Will Sing - Ketu HF
03:59:56 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
04:00:03 BLOC_A_SERIE_DU_JOUR              2m02s      2m00s      -2s  ✅  Psaumes 45
04:02:03 BLOC_A_SERIE_DU_JOUR              1m13s      1m10s      -3s  ✅  Psaumes 46
04:03:13 BLOC_A_SERIE_DU_JOUR              0m49s      0m46s      -3s  ✅  Psaumes 47
04:03:59 BLOC_A_SERIE_DU_JOUR              1m26s      1m23s      -3s  ✅  Psaumes 48
04:05:22 BLOC_A_SERIE_DU_JOUR              1m52s      1m50s      -2s  ✅  Psaumes 49
04:07:12 BLOC_A_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  Psaumes 50
04:09:19 BLOC_A_SERIE_DU_JOUR              1m59s      1m56s      -3s  ✅  Psaumes 51
04:11:15 BLOC_A_SERIE_DU_JOUR              1m04s      1m02s      -2s  ✅  Psaumes 52
04:12:17 BLOC_A_SERIE_DU_JOUR              0m56s      0m54s      -2s  ✅  Psaumes 53
04:13:11 BLOC_A_SERIE_DU_JOUR              0m42s      0m39s      -3s  ✅  Psaumes 54
04:13:50 BLOC_A_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  Psaumes 55
04:16:17 BLOC_A_SERIE_DU_JOUR              1m19s      1m16s      -3s  ✅  Psaumes 56
04:17:33 BLOC_A_SERIE_DU_JOUR              1m19s      1m17s      -2s  ✅  Psaumes 57
04:18:50 BLOC_A_SERIE_DU_JOUR              1m15s      1m12s      -3s  ✅  Psaumes 58
04:20:02 BLOC_A_SERIE_DU_JOUR              2m03s      2m00s      -3s  ✅  Psaumes 59
04:22:02 BLOC_A_SERIE_DU_JOUR              1m17s      1m15s      -2s  ✅  Psaumes 60
04:23:17 BLOC_A_SERIE_DU_JOUR              0m48s      0m46s      -2s  ✅  Psaumes 61
04:24:03 BLOC_A_SERIE_DU_JOUR              1m30s      1m28s      -2s  ✅  Psaumes 62
04:25:31 BLOC_A_SERIE_DU_JOUR              1m06s      1m03s      -3s  ✅  Psaumes 63
04:26:34 BLOC_A_SERIE_DU_JOUR              1m02s      1m00s      -2s  ✅  Psaumes 64
04:27:34 BLOC_A_SERIE_DU_JOUR              1m29s      1m27s      -2s  ✅  Psaumes 65
04:29:01 BLOC_A_SERIE_DU_JOUR              2m00s      1m58s      -2s  ✅  Psaumes 66
04:30:59 BLOC_A_SERIE_DU_JOUR              0m38s      0m35s      -3s  ✅  Psaumes 67
04:31:34 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Psaumes 68
04:35:36 BLOC_A_SERIE_DU_JOUR              3m46s      3m43s      -3s  ✅  Psaumes 69
04:39:19 BLOC_A_SERIE_DU_JOUR              0m41s      0m38s      -3s  ✅  Psaumes 70
04:39:57 BLOC_A_SERIE_DU_JOUR              2m42s      2m40s      -2s  ✅  Psaumes 71
04:42:37 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
04:42:47 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
