====================================================================================================
MONITEUR RADIO — 2026-09-03 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 65 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:35  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:29  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:53  🌐 échec réseau AzuraCast/Liquidsoap  (×60)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:00:12  COUPÉ 461s « 10 minutes »
          ↳ cause probable 00:01:35 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   12:25:21  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:01  TROU 61s « Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR - »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-03 (heures UTC)
319 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
12:50:23 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
12:50:33 BLOC_C_SERIE_DU_JOUR              2m59s      2m56s      -3s  ✅  Philémon 1
12:53:29 BLOC_C_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Nahum 1
12:55:48 BLOC_C_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Nahum 2
12:57:49 BLOC_C_SERIE_DU_JOUR              3m02s      3m00s      -2s  ✅  Nahum 3
13:00:49 BLOC_C_SERIE_DU_JOUR              6m01s      5m59s      -2s  ✅  Nombres 33
13:06:48 BLOC_C_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Nombres 34
13:10:13 BLOC_C_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Nombres 35
13:15:26 BLOC_C_SERIE_DU_JOUR              2m23s      2m20s      -3s  ✅  Nombres 36
13:17:46 BLOC_C_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  3 Jean 1
13:19:49 BLOC_C_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  Ésaïe 47
13:22:50 BLOC_C_SERIE_DU_JOUR              4m00s      3m58s      -2s  ✅  Ésaïe 48
13:26:48 BLOC_C_SERIE_DU_JOUR              5m13s      5m10s      -3s  ✅  Ésaïe 49
13:31:58 BLOC_C_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Ésaïe 50
13:34:30 BLOC_C_SERIE_DU_JOUR              4m41s      4m39s      -2s  ✅  Ésaïe 51
13:39:09 BLOC_C_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Ésaïe 52
13:41:50 BLOC_C_SERIE_DU_JOUR              2m31s      2m29s      -2s  ✅  Ésaïe 53
13:44:19 BLOC_C_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  Ésaïe 54
13:47:29 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
13:47:39 BLOC_C_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Igwe
13:52:47 BLOC_C_SERIE_DU_JOUR             11m53s     11m50s      -3s  ✅  Hashem - PHF
14:04:37 BLOC_C_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  qui est digne d ouvrir le livre
14:11:31 BLOC_C_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
14:16:48 BLOC_C_SERIE_DU_JOUR              8m31s      8m29s      -2s  ✅  Holy Holy - Abuja HF
14:25:17 BLOC_C_SERIE_DU_JOUR              7m57s      7m55s      -2s  ✅  Yahweh is Mighty (Imah Adegoke)
14:33:12 BLOC_C_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  Ella Samuels - Oh Lord Our Maker
14:38:54 BLOC_C_SERIE_DU_JOUR              7m36s      7m34s      -2s  ✅  There Is No Lie - SWBN TV
14:46:28 BLOC_C_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
14:46:34 BLOC_C_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  2 Jean 1
14:48:39 BLOC_C_SERIE_DU_JOUR              3m27s      3m25s      -2s  ✅  Matthieu 1
14:52:04 BLOC_C_SERIE_DU_JOUR              3m40s      3m37s      -3s  ✅  Matthieu 2
14:55:41 BLOC_C_SERIE_DU_JOUR              2m25s      2m23s      -2s  ✅  Matthieu 3
14:58:04 BLOC_C_SERIE_DU_JOUR              3m18s      3m16s      -2s  ✅  Matthieu 4
15:01:20 BLOC_C_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Matthieu 5
15:07:46 BLOC_C_SERIE_DU_JOUR              4m57s      4m54s      -3s  ✅  Matthieu 6
15:12:40 BLOC_C_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  Matthieu 7
15:16:23 BLOC_C_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
15:16:31 BLOC_C_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
15:22:25 BLOC_C_SERIE_DU_JOUR              5m22s      5m20s      -2s  ✅  God's Got An Army - PHF
15:27:45 BLOC_C_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  Ascribe Greatness - PHF
15:31:46 BLOC_C_SERIE_DU_JOUR              8m25s      8m24s      -1s  ✅  The Mountains, Come and, Oh City - Ketu HF
15:40:10 BLOC_C_SERIE_DU_JOUR              5m04s      5m01s      -3s  ✅  Guide Me - El ELyon - Abuja HF
15:45:11 BLOC_C_SERIE_DU_JOUR              5m47s      5m44s      -3s  ✅  We Ascribe Greatness - Abuja HF
15:50:55 BLOC_C_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
15:55:04 BLOC_C_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  My Heart Rejoices - Toronto HF
16:03:22 BLOC_C_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Rejoice - PHF
16:09:22 BLOC_C_SERIE_DU_JOUR             10m13s     10m10s      -3s  ✅  As We Worship - Toronto & Winnipeg HF
16:19:32 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
16:19:40 BLOC_C_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Galates 4
16:24:07 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Galates 5
16:28:09 BLOC_C_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Galates 6
16:30:52 BLOC_C_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Daniel 1
16:34:25 BLOC_C_SERIE_DU_JOUR              9m09s      9m06s      -3s  ✅  Daniel 2
16:43:31 BLOC_C_SERIE_DU_JOUR              6m24s      6m22s      -2s  ✅  Daniel 3
16:49:53 BLOC_C_SERIE_DU_JOUR              7m32s      7m29s      -3s  ✅  Daniel 4
16:57:22 BLOC_C_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Daniel 5
17:03:29 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
17:03:37 BLOC_C_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
17:07:55 BLOC_C_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
17:11:34 BLOC_C_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
17:20:55 BLOC_C_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
17:29:30 BLOC_C_SERIE_DU_JOUR              5m13s      5m10s      -3s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
17:34:40 BLOC_C_SERIE_DU_JOUR             11m01s     10m59s      -2s  ✅  Great is, Ascribe - Ketu HF
17:45:39 BLOC_C_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Not Naked (Abasiama Timothy)
17:51:28 BLOC_C_SERIE_DU_JOUR              9m38s      9m36s      -2s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
18:01:04 BLOC_D_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant message 03 vous ecoutez parole prophetique fm
18:01:10 BLOC_D_SERIE_DU_JOUR             25m04s     25m02s      -2s  ✅  pqe j8
18:26:12 BLOC_D_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
18:26:19 BLOC_D_SERIE_DU_JOUR              2m54s      2m52s      -2s  ✅  Malachie 1
18:29:11 BLOC_D_SERIE_DU_JOUR              3m17s      3m13s      -4s  ✅  Malachie 2
18:32:24 BLOC_D_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
18:35:43 BLOC_D_SERIE_DU_JOUR              1m05s      1m03s      -2s  ✅  Malachie 4
18:36:46 BLOC_D_SERIE_DU_JOUR              5m55s      5m53s      -2s  ✅  Lévitique 16
18:42:39 BLOC_D_SERIE_DU_JOUR              2m44s      2m42s      -2s  ✅  Lévitique 17
18:45:21 BLOC_D_SERIE_DU_JOUR              3m54s      3m50s      -4s  ✅  Lévitique 18
18:49:11 BLOC_D_SERIE_DU_JOUR              5m37s      5m35s      -2s  ✅  Lévitique 19
18:54:46 BLOC_D_SERIE_DU_JOUR              4m35s      4m32s      -3s  ✅  Lévitique 20
18:59:18 BLOC_D_SERIE_DU_JOUR              3m25s      3m22s      -3s  ✅  Lévitique 21
19:02:40 BLOC_D_SERIE_DU_JOUR              5m06s      5m03s      -3s  ✅  Lévitique 22
19:07:43 BLOC_D_SERIE_DU_JOUR              6m58s      6m55s      -3s  ✅  Lévitique 23
19:14:38 BLOC_D_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  Lévitique 24
19:17:47 BLOC_D_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
19:17:57 BLOC_D_SERIE_DU_JOUR              7m19s      7m17s      -2s  ✅  You Have sworn By Your Holiness - Chidera Bisong
19:25:14 BLOC_D_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
19:30:00 BLOC_D_SERIE_DU_JOUR              6m28s      6m25s      -3s  ✅  Le Bien-Etre Universel
19:36:25 BLOC_D_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
19:41:27 BLOC_D_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
19:51:50 BLOC_D_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Satisfy My Soul - Calabar HF
19:57:49 BLOC_D_SERIE_DU_JOUR              9m43s      9m41s      -2s  ✅  Thy Throne Oh Lord - Ketu HF
20:07:30 BLOC_D_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
20:12:48 BLOC_D_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
20:12:58 BLOC_D_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  1 Timothée 1
20:16:12 BLOC_D_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  1 Timothée 2
20:18:19 BLOC_D_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  1 Timothée 3
20:20:40 BLOC_D_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  1 Timothée 4
20:23:07 BLOC_D_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  1 Timothée 5
20:26:49 BLOC_D_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
20:30:39 BLOC_D_SERIE_DU_JOUR              5m25s      5m23s      -2s  ✅  1 Rois 21
20:36:02 BLOC_D_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  1 Rois 22
20:44:57 BLOC_D_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
20:45:05 BLOC_D_SERIE_DU_JOUR              3m10s      3m08s      -2s  ✅  la Parole
20:48:13 BLOC_D_SERIE_DU_JOUR              6m54s      6m51s      -3s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
20:55:04 BLOC_D_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
20:59:35 BLOC_D_SERIE_DU_JOUR              9m39s      9m37s      -2s  ✅  Psalm 93 - Port Harcourt HF
21:09:12 BLOC_D_SERIE_DU_JOUR             11m54s     11m51s      -3s  ✅  Great & Marvelluos - Toronto HF
21:21:03 BLOC_D_SERIE_DU_JOUR              8m41s      8m38s      -3s  ✅  Unto Him (Vincent Opara)
21:29:41 BLOC_D_SERIE_DU_JOUR              7m37s      7m41s      +4s  ✅  Cantiques  Il a pris mes iniquités
21:37:22 BLOC_D_SERIE_DU_JOUR              4m44s      4m41s      -3s  ✅  Esther 2
21:42:03 BLOC_D_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Esther 3
21:45:17 BLOC_D_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Esther 4
21:48:10 BLOC_D_SERIE_DU_JOUR              2m46s      2m42s      -4s  ✅  Esther 5
21:50:52 BLOC_D_SERIE_DU_JOUR              2m44s      2m42s      -2s  ✅  Esther 6
21:53:34 BLOC_D_SERIE_DU_JOUR              2m17s      2m14s      -3s  ✅  Esther 7
21:55:48 BLOC_D_SERIE_DU_JOUR              3m44s      3m42s      -2s  ✅  Esther 8
21:59:30 BLOC_D_SERIE_DU_JOUR              5m31s      5m28s      -3s  ✅  Esther 9
22:04:58 BLOC_D_SERIE_DU_JOUR              0m33s      0m31s      -2s  ✅  Esther 10
22:05:29 BLOC_D_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  1 Pierre 1
22:10:00 BLOC_D_SERIE_DU_JOUR              4m17s      4m14s      -3s  ✅  1 Pierre 2
22:14:14 BLOC_D_SERIE_DU_JOUR              3m50s      3m55s      +5s  ✅  1 Pierre 3
22:18:09 BLOC_D_SERIE_DU_JOUR              6m07s      6m04s      -3s  ✅  There Is Forgiveness In Thee - SWBN TV
22:24:13 BLOC_D_SERIE_DU_JOUR              7m20s      7m18s      -2s  ✅  The Glory -  PHF
22:31:31 BLOC_D_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
22:37:38 BLOC_D_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  How Precious Oh Lord
22:43:20 BLOC_D_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
22:48:20 BLOC_D_SERIE_DU_JOUR              7m04s      7m02s      -2s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
22:55:22 BLOC_D_SERIE_DU_JOUR              6m35s      6m32s      -3s  ✅  cantique   ta lumière
23:01:54 BLOC_D_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  There is A Mighty River Flowing - Ketu HF
23:09:00 BLOC_D_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 01 la bonne nouvelle partout
23:09:10 BLOC_D_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Ecclésiaste 1
23:11:29 BLOC_D_SERIE_DU_JOUR              4m17s      4m15s      -2s  ✅  Ecclésiaste 2
23:15:44 BLOC_D_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Ecclésiaste 3
23:18:31 BLOC_D_SERIE_DU_JOUR              2m23s      2m20s      -3s  ✅  Ecclésiaste 4
23:20:51 BLOC_D_SERIE_DU_JOUR              3m17s      3m16s      -1s  ✅  Ecclésiaste 5
23:24:07 BLOC_D_SERIE_DU_JOUR              1m50s      1m46s      -4s  ✅  Ecclésiaste 6
23:25:53 BLOC_D_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
23:26:03 BLOC_D_SERIE_DU_JOUR              6m30s      6m28s      -2s  ✅  Praise the Lord of Host - Toronto HF
23:32:31 BLOC_E_LOUANGE_NUIT               4m52s      4m49s      -3s  ✅  cantique   prends tout le contrôle
23:37:20 BLOC_E_LOUANGE_NUIT               5m52s      5m50s      -2s  ✅  Where Two or Three are Gathered - Calabar HF
23:43:10 BLOC_E_LOUANGE_NUIT               3m22s      3m19s      -3s  ✅  Ses cheveux étaient blancs..
23:46:29 BLOC_E_LOUANGE_NUIT              10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
23:57:01 BLOC_E_LOUANGE_NUIT               3m41s      4m42s     +61s  ⚠️ TROU APRÈS  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
----------------------------------------------------------------------------------------------------
Bilan : 319 titres, 2 anomalie(s) (titre coupé de plus de 10s ou trou d'antenne). Gravité : 0 mineure(s) <1min · 2 sérieuse(s) 1-10min · 0 critique(s) >10min.

====================================================================================================
CONTRÔLES APPROFONDIS
====================================================================================================
MESSAGE DU JOUR « PQE J 8 » : 5 diffusion(s) pour 4 prévue(s) ❌
   00:06:19  (étiquette BLOC_A_SERIE_DU_JOUR)
   06:01:11  (étiquette BLOC_B_SERIE_DU_JOUR)
   12:00:12  (étiquette BLOC_C_SERIE_DU_JOUR)
   12:25:21  (étiquette BLOC_C_SERIE_DU_JOUR)  ⚠️ DOUBLE RAPPROCHÉ (rejoué juste après la diffusion précédente)
   18:01:10  (étiquette BLOC_D_SERIE_DU_JOUR)
   → diffusions en trop = reboucle d'un bloc avant la fin de sa fenêtre (l'étiquette playlist des fichiers partagés n'est pas fiable, se fier aux heures).
JINGLES : 28 joués / 36 prévus (78%) ⚠️   ·   BLOC_A 6/9 · BLOC_B 9/9 · BLOC_C 6/9 · BLOC_D 7/9
HORS FENÊTRE : 1 titre(s) d'un bloc joués hors de sa plage ⚠️
   00:00:12  10 minutes — prévu dans BLOC_B (06:00-12:00)
BOUCHE-TROUS : 2 titre(s) hors plan sans playlist ⚠️
   00:01:54  ?  (4m25s)
   11:59:34  AzuraCast is Live!  (0m31s)
COUVERTURE : premier titre à 00:00:12 ✅ · dernier titre finit vers 00:00:42 (estimé) ✅

====================================================================================================
RÉEL vs PRÉVU — ce qui a joué vs ce que le plan prévoyait
====================================================================================================
----------------------------------------------------------------------------------------------------
BLOC_A  (00:00-06:00)  prévus  98 · atteignables  93 · joués  93 · conformité  98% · sautés  2 · en trop  2
   ⏭️  PRÉVU NON JOUÉ : jingle avant message 03 vous ecoutez parole prophetique fm · jingle avant bible 06 ouvrons les saintes ecritures
   ➕  JOUÉ NON PRÉVU : 10 minutes · ?
   ⏸️  FIN DE BLOC NON ATTEINTE (5 titres · ~25m56s) — marge anti-rebouclage au-delà de la fenêtre, normal : jingle id station 01 la bonne nouvelle partout · I Choose the Way of the Lord - Abuja HF · Bless Ye the Lord - PHF · cantique  ta bonte · You're the Lamb (Abasiama Timothy)
----------------------------------------------------------------------------------------------------
BLOC_B  (06:00-12:00)  prévus  85 · atteignables  82 · joués  83 · conformité  99% · sautés  1 · en trop  2
   ⏭️  PRÉVU NON JOUÉ : JINGLE
   ➕  JOUÉ NON PRÉVU : jingle avant message 03 vous ecoutez parole prophetique fm · AzuraCast is Live!
   ⏸️  FIN DE BLOC NON ATTEINTE (3 titres · ~16m27s) — marge anti-rebouclage au-delà de la fenêtre, normal : For By My God - Toronto & Winnipeg HF · The Lord is my Light and Salvation - Nonso Njoku · Crown Him Lord of Lords - Nonso Njoku
----------------------------------------------------------------------------------------------------
BLOC_C  (12:00-18:00)  prévus  79 · atteignables  67 · joués  67 · conformité  99% · sautés  1 · en trop  1
   ⏭️  PRÉVU NON JOUÉ : jingle avant message 04 bienvenue sur parole prophetique fm
   ➕  JOUÉ NON PRÉVU : pqe j8
   ⏸️  FIN DE BLOC NON ATTEINTE (12 titres · ~48m49s) — marge anti-rebouclage au-delà de la fenêtre, normal : jingle id station 01 la bonne nouvelle partout · Habacuc 1 · Habacuc 2 · Habacuc 3 · Josué 17 · Josué 18  …(+6)
   ⚠️  part non atteinte (~48m49s) excède la marge prévue (~27m22s) — reboucle ou coupure probable dans le bloc
----------------------------------------------------------------------------------------------------
BLOC_D  (18:00-23:30)  prévus  76 · atteignables  73 · joués  71 · conformité  97% · sautés  2 · en trop  0
   ⏭️  PRÉVU NON JOUÉ : jingle avant bible 08 prenons un moment pour ecouter la parole · jingle avant louange 06 que la louange seleve
   ⏸️  FIN DE BLOC NON ATTEINTE (3 titres · ~18m17s) — marge anti-rebouclage au-delà de la fenêtre, normal : Holy is the Lord (Emmanuel Umoh) · Oh Lord I Want to Know Your Glory - Port Harcourt HF · Je veux vivre ton royaume
----------------------------------------------------------------------------------------------------
CONFORMITÉ GLOBALE : 309/315 titres atteignables joués dans l'ordre = 98%  (5 titre(s) hors plan · 23 non atteint(s) en fin de bloc, marge normale)
