2026/09/20 00:01:37 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/09/20 00:01:37 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/09/20 00:01:37 [error_jingle:3] "/usr/local/share/icecast/web/error.mp3" is static, resolving once for all...
2026/09/20 00:01:37 [error_jingle:3] Prepared "/usr/local/share/icecast/web/error.mp3" (RID 7).
2026/09/20 00:01:37 [safe_fallback:3] Switch to error_jingle.
2026/09/20 00:01:38 [playlist_000_transition:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_2.mp3" (RID 12).
2026/09/20 00:01:38 [safe_fallback:3] Switch to amplify_0 with transition.
2026/09/20 00:01:38 [live_fallback:3] Switch to cross_0.
2026/09/20 00:01:38 [interrupting_fallback:3] Switch to requests_fallback.
2026/09/20 00:01:38 [requests_fallback:3] Switch to autodj_fallback.
2026/09/20 00:01:38 [autodj_fallback:3] Switch to schedule_switch.
2026/09/20 00:01:38 [schedule_switch:3] Switch to metadata.map_0.
2026/09/20 00:01:39 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_louange_07_voici_un_temps_de_louange.mp3" (RID 15).
2026/09/20 00:03:06 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_2.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/09/20 00:03:07 [playlist_bloc_a_serie_du_jour:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" (RID 8).
2026/09/20 00:03:07 [schedule_switch:3] Switch to cue_playlist_bloc_a_serie_du_jour with forgetful transition.
2026/09/20 00:03:07 [autodj_fallback:3] Switch to dynamic_startup with forgetful transition.
2026/09/20 00:03:07 [dynamic_startup:3] Switch to cue_next_song.
2026/09/20 00:03:20 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_louange_07_voici_un_temps_de_louange.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/09/20 00:03:20 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" (RID 17).
2026/09/20 00:03:29 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" ended: Ffmpeg_decoder.End_of_file.
