====================================================================================================
MONITEUR RADIO — 2026-08-13 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 139 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:31  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:29:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:32  🌐 échec réseau AzuraCast/Liquidsoap  (×134)
RESET MINUIT : restart confirmé vers 00:02:07 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:37  TROU 144s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:31 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:17  COUPÉ 58s « Holy is the Lord (Emmanuel Umoh) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-13 (heures UTC)
310 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
04:12:31 BLOC_A_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Jacques 3
04:15:24 BLOC_A_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Jacques 4
04:18:08 BLOC_A_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Jacques 5
04:21:33 BLOC_A_SERIE_DU_JOUR              4m02s      3m59s      -3s  ✅  Esther 1
04:25:32 BLOC_A_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Esther 2
04:30:14 BLOC_A_SERIE_DU_JOUR              3m17s      3m13s      -4s  ✅  Esther 3
04:33:27 BLOC_A_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Esther 4
04:36:20 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Esther 5
04:39:03 BLOC_A_SERIE_DU_JOUR              0m10s      0m09s      -1s  ✅  jingle avant louange 06 que la louange seleve
04:39:12 BLOC_A_SERIE_DU_JOUR              6m54s      6m50s      -4s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
04:46:02 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
04:50:52 BLOC_A_SERIE_DU_JOUR              7m25s      7m22s      -3s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
04:58:14 BLOC_A_SERIE_DU_JOUR             10m38s     10m37s      -1s  ✅  Be Exalted - PHF
05:08:51 BLOC_A_SERIE_DU_JOUR             11m53s     11m50s      -3s  ✅  Hashem - PHF
05:20:41 BLOC_A_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Agunechemba - SWBN TV
05:28:48 BLOC_A_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
05:33:30 BLOC_A_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
05:38:47 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
05:38:57 BLOC_A_SERIE_DU_JOUR              8m34s      8m31s      -3s  ✅  1 Corinthiens 15
05:47:28 BLOC_A_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  1 Corinthiens 16
05:50:33 BLOC_A_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Lamentations 5
05:52:51 BLOC_A_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
05:55:56 BLOC_A_SERIE_DU_JOUR              5m41s      5m38s      -3s  ✅  Joël 2
06:01:34 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
06:01:43 BLOC_B_SERIE_DU_JOUR             27m36s     27m33s      -3s  ✅  la moisson 4 adé
06:29:16 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
06:29:23 BLOC_B_SERIE_DU_JOUR              3m34s      3m32s      -2s  ✅  Zacharie 1
06:32:55 BLOC_B_SERIE_DU_JOUR              1m51s      1m48s      -3s  ✅  Zacharie 2
06:34:43 BLOC_B_SERIE_DU_JOUR              1m46s      1m44s      -2s  ✅  Zacharie 3
06:36:27 BLOC_B_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Zacharie 4
06:38:30 BLOC_B_SERIE_DU_JOUR              1m38s      1m37s      -1s  ✅  Zacharie 5
06:40:07 BLOC_B_SERIE_DU_JOUR              2m22s      2m18s      -4s  ✅  Zacharie 6
06:42:25 BLOC_B_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  Zacharie 7
06:44:30 BLOC_B_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Zacharie 8
06:48:19 BLOC_B_SERIE_DU_JOUR              3m12s      3m09s      -3s  ✅  Zacharie 9
06:51:28 BLOC_B_SERIE_DU_JOUR              2m13s      2m10s      -3s  ✅  Zacharie 10
06:53:38 BLOC_B_SERIE_DU_JOUR              2m53s      2m51s      -2s  ✅  Zacharie 11
06:56:29 BLOC_B_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  Zacharie 12
06:59:04 BLOC_B_SERIE_DU_JOUR              1m43s      1m41s      -2s  ✅  Zacharie 13
07:00:45 BLOC_B_SERIE_DU_JOUR              4m06s      4m04s      -2s  ✅  Zacharie 14
07:04:49 BLOC_B_SERIE_DU_JOUR              1m47s      1m44s      -3s  ✅  Psaumes 144
07:06:33 BLOC_B_SERIE_DU_JOUR              2m00s      1m57s      -3s  ✅  Psaumes 145
07:08:30 BLOC_B_SERIE_DU_JOUR              1m06s      1m04s      -2s  ✅  Psaumes 146
07:09:34 BLOC_B_SERIE_DU_JOUR              1m52s      1m50s      -2s  ✅  Psaumes 147
07:11:24 BLOC_B_SERIE_DU_JOUR              1m27s      1m25s      -2s  ✅  Psaumes 148
07:12:49 BLOC_B_SERIE_DU_JOUR              1m00s      0m58s      -2s  ✅  Psaumes 149
07:13:47 BLOC_B_SERIE_DU_JOUR              0m41s      0m38s      -3s  ✅  Psaumes 150
07:14:25 BLOC_B_SERIE_DU_JOUR              3m09s      3m06s      -3s  ✅  Josué 23
07:17:31 BLOC_B_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Josué 24
07:23:18 BLOC_B_SERIE_DU_JOUR              2m37s      2m43s      +6s  ✅  2 Timothée 3
07:26:01 BLOC_B_SERIE_DU_JOUR              3m10s      3m07s      -3s  ✅  la Parole
07:29:08 BLOC_B_SERIE_DU_JOUR             10m25s     10m22s      -3s  ✅  Holy Are You - PHF
07:39:30 BLOC_B_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
