====================================================================================================
MONITEUR RADIO — 2026-08-19 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 252 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:15  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:23  🌐 échec réseau AzuraCast/Liquidsoap  (×247)
RESET MINUIT : restart confirmé vers 00:01:57 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:26  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:20 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:04  COUPÉ 46s « la Parole »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-19 (heures UTC)
255 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
04:10:13 BLOC_A_SERIE_DU_JOUR              3m37s      3m34s      -3s  ✅  Nombres 27
04:13:47 BLOC_A_SERIE_DU_JOUR              4m29s      4m27s      -2s  ✅  Nombres 28
04:18:14 BLOC_A_SERIE_DU_JOUR              5m20s      5m18s      -2s  ✅  Nombres 29
04:23:32 BLOC_A_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Nombres 30
04:26:16 BLOC_A_SERIE_DU_JOUR              6m36s      6m33s      -3s  ✅  Nombres 31
04:32:49 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Nombres 32
04:38:49 BLOC_A_SERIE_DU_JOUR              6m01s      5m58s      -3s  ✅  Nombres 33
04:44:47 BLOC_A_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Nombres 34
04:48:12 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
04:48:20 BLOC_A_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
04:57:15 BLOC_A_SERIE_DU_JOUR              3m12s      3m11s      -1s  ✅  esprit de dieu
05:00:26 BLOC_A_SERIE_DU_JOUR              6m09s      6m06s      -3s  ✅  Hymne des vainqueurs
05:06:32 BLOC_A_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
05:11:49 BLOC_A_SERIE_DU_JOUR              5m43s      5m41s      -2s  ✅  Cantique l Éternel est mon Berger (1)
05:17:30 BLOC_A_SERIE_DU_JOUR              6m07s      6m04s      -3s  ✅  There Is Forgiveness In Thee - SWBN TV
05:23:34 BLOC_A_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Forever You Reign - Abuja HF
05:29:20 BLOC_A_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
05:32:36 BLOC_A_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
05:39:37 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
05:39:47 BLOC_A_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Exode 31
05:43:02 BLOC_A_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  Exode 32
05:50:03 BLOC_A_SERIE_DU_JOUR              5m00s      4m57s      -3s  ✅  Exode 33
05:55:00 BLOC_A_SERIE_DU_JOUR              7m24s      7m29s      +5s  ✅  Exode 34
06:02:29 BLOC_B_SERIE_DU_JOUR           1h12m47s   1h12m52s      +5s  ✅  nous faire part 5
07:15:21 BLOC_B_SERIE_DU_JOUR              4m15s      4m13s      -2s  ✅  Philippiens 1
07:19:34 BLOC_B_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Philippiens 2
07:23:59 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Philippiens 3
07:27:22 BLOC_B_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Philippiens 4
07:30:58 BLOC_B_SERIE_DU_JOUR              1m55s      1m52s      -3s  ✅  Esdras 1
07:32:50 BLOC_B_SERIE_DU_JOUR              6m11s      6m09s      -2s  ✅  Esdras 2
07:38:59 BLOC_B_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Esdras 3
07:41:52 BLOC_B_SERIE_DU_JOUR              4m24s      4m22s      -2s  ✅  Esdras 4
07:46:14 BLOC_B_SERIE_DU_JOUR              3m08s      3m05s      -3s  ✅  Esdras 5
07:49:19 BLOC_B_SERIE_DU_JOUR              4m12s      4m10s      -2s  ✅  Esdras 6
07:53:29 BLOC_B_SERIE_DU_JOUR              4m34s      4m31s      -3s  ✅  Esdras 7
07:58:00 BLOC_B_SERIE_DU_JOUR              5m42s      5m49s      +7s  ✅  Esdras 8
08:03:49 BLOC_B_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  Praise the Lord All Ye Nations - Toronto HF
