====================================================================================================
MONITEUR RADIO — 2026-09-07 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 5 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:33  TROU 101s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:56:59  COUPÉ 141s « qui est digne d ouvrir le livre »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-07 (heures UTC)
320 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
03:36:39 BLOC_A_SERIE_DU_JOUR              7m20s      7m25s      +5s  ✅  The Glory -  PHF
03:44:04 BLOC_A_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Esther 3
03:47:18 BLOC_A_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Esther 4
03:50:11 BLOC_A_SERIE_DU_JOUR              2m46s      2m42s      -4s  ✅  Esther 5
03:52:53 BLOC_A_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Esther 6
03:55:34 BLOC_A_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  Esther 7
03:57:49 BLOC_A_SERIE_DU_JOUR              3m44s      3m42s      -2s  ✅  Esther 8
04:01:31 BLOC_A_SERIE_DU_JOUR              5m31s      5m28s      -3s  ✅  Esther 9
04:06:59 BLOC_A_SERIE_DU_JOUR              0m33s      0m31s      -2s  ✅  Esther 10
04:07:30 BLOC_A_SERIE_DU_JOUR              4m51s      4m49s      -2s  ✅  Actes 26
04:12:19 BLOC_A_SERIE_DU_JOUR              6m31s      6m29s      -2s  ✅  Actes 27
04:18:48 BLOC_A_SERIE_DU_JOUR              5m05s      5m02s      -3s  ✅  Actes 28
04:23:50 BLOC_A_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  Osée 1
04:25:52 BLOC_A_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  Osée 2
04:29:18 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
04:29:26 BLOC_A_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  I Will Call Upon The Lord
04:34:34 BLOC_A_SERIE_DU_JOUR              7m37s      7m35s      -2s  ✅  Cantiques  Il a pris mes iniquités
04:42:09 BLOC_A_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Yahweh Be Praised - Abuja HF
04:47:21 BLOC_A_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
04:49:34 BLOC_A_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
04:57:56 BLOC_A_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
05:06:51 BLOC_A_SERIE_DU_JOUR              8m18s      8m18s      +0s  ✅  Yahweh Is Mighty - SWBN TV
05:15:09 BLOC_A_SERIE_DU_JOUR              9m23s      9m19s      -4s  ✅  Thou art Worthy Lord - PHF
05:24:28 BLOC_A_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  Immortal God - Elohim Adonai - Abuja HF
05:30:38 BLOC_A_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
05:30:50 BLOC_A_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  Cantique des Cantiques 8
05:33:17 BLOC_A_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  2 Jean 1
05:35:22 BLOC_A_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  1 Jean 4
05:38:36 BLOC_A_SERIE_DU_JOUR              3m11s      3m08s      -3s  ✅  1 Jean 5
05:41:44 BLOC_A_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  3 Jean 1
05:43:47 BLOC_A_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Lamentations 5
05:46:04 BLOC_A_SERIE_DU_JOUR              3m32s      3m30s      -2s  ✅  Job 34
05:49:34 BLOC_A_SERIE_DU_JOUR              1m32s      1m29s      -3s  ✅  Job 35
05:51:03 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 01 la bonne nouvelle partout
05:51:13 BLOC_A_SERIE_DU_JOUR              6m35s      6m32s      -3s  ✅  cantique   ta lumière
05:57:45 BLOC_A_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
06:02:45 BLOC_B_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
06:02:55 BLOC_B_SERIE_DU_JOUR             10m07s     10m05s      -2s  ✅  2020 tian le pardon 2
06:13:00 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
06:13:11 BLOC_B_SERIE_DU_JOUR              4m37s      4m34s      -3s  ✅  1 Corinthiens 1
06:17:45 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  1 Corinthiens 2
06:20:26 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  1 Corinthiens 3
06:23:49 BLOC_B_SERIE_DU_JOUR              3m40s      3m38s      -2s  ✅  1 Corinthiens 4
06:27:27 BLOC_B_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  1 Corinthiens 5
06:29:42 BLOC_B_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  1 Corinthiens 6
06:32:58 BLOC_B_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  1 Corinthiens 7
06:39:24 BLOC_B_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  1 Corinthiens 8
06:41:26 BLOC_B_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  1 Corinthiens 9
06:45:32 BLOC_B_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  1 Corinthiens 10
06:50:18 BLOC_B_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  1 Corinthiens 11
06:55:24 BLOC_B_SERIE_DU_JOUR              4m41s      4m39s      -2s  ✅  1 Corinthiens 12
07:00:03 BLOC_B_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  1 Corinthiens 13
07:02:38 BLOC_B_SERIE_DU_JOUR              6m31s      6m28s      -3s  ✅  1 Corinthiens 14
07:09:06 BLOC_B_SERIE_DU_JOUR              8m34s      8m31s      -3s  ✅  1 Corinthiens 15
07:17:37 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
07:17:46 BLOC_B_SERIE_DU_JOUR             11m54s     11m51s      -3s  ✅  Great & Marvelluos - Toronto HF
07:29:37 BLOC_B_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  The Lord is my Light and Salvation - Nonso Njoku
07:32:38 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Satisfy My Soul - Calabar HF
07:38:38 BLOC_B_SERIE_DU_JOUR             10m47s     10m44s      -3s  ✅  Abba, Singing a, I Will Sing - Ketu HF
07:49:22 BLOC_B_SERIE_DU_JOUR              7m25s      7m23s      -2s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
07:56:45 BLOC_B_SERIE_DU_JOUR              7m46s      7m43s      -3s  ✅  Arise Out of Zion  - Winnipeg Fellowship
08:04:28 BLOC_B_SERIE_DU_JOUR             10m24s     10m22s      -2s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
08:14:50 BLOC_B_SERIE_DU_JOUR              7m57s      7m55s      -2s  ✅  Yahweh is Mighty (Imah Adegoke)
08:22:45 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
08:22:53 BLOC_B_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  Zacharie 1
08:26:24 BLOC_B_SERIE_DU_JOUR              1m51s      1m49s      -2s  ✅  Zacharie 2
08:28:13 BLOC_B_SERIE_DU_JOUR              1m46s      1m43s      -3s  ✅  Zacharie 3
08:29:56 BLOC_B_SERIE_DU_JOUR              2m06s      2m04s      -2s  ✅  Zacharie 4
08:32:00 BLOC_B_SERIE_DU_JOUR              1m38s      1m36s      -2s  ✅  Zacharie 5
08:33:36 BLOC_B_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Zacharie 6
08:35:55 BLOC_B_SERIE_DU_JOUR              2m07s      2m04s      -3s  ✅  Zacharie 7
08:37:59 BLOC_B_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Zacharie 8
