====================================================================================================
MONITEUR RADIO — 2026-09-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 0 incident(s)
ATTENDU (sans effet à l'antenne, hors verdict) : 199 événement(s) serveur pendant la rotation (23h30-23h40) et le reset de minuit (00h00-00h03) · 1 titre(s) tronqué(s) par le redémarrage de minuit
SERVEUR : aucun incident hors fenêtres planifiées (ni crash, ni échec réseau, ni silence) ✅
   ↳ attendu, hors verdict : 00:01 🌐 échec réseau AzuraCast/Liquidsoap (×2) · 00:01 🔇 bascule sur jingle d'erreur (silence potentiel) (×2) · 23:32 🌐 échec réseau AzuraCast/Liquidsoap (×195)
RESET MINUIT : restart confirmé vers 00:02:09 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:38  TROU 95s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:33 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-10 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
03:17:09 BLOC_A_SERIE_DU_JOUR             10m35s     10m31s      -4s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
03:27:40 BLOC_A_SERIE_DU_JOUR              7m21s      7m19s      -2s  ✅  For By My God - Toronto & Winnipeg HF
03:34:59 BLOC_A_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Igwe
03:40:07 BLOC_A_SERIE_DU_JOUR              7m20s      7m17s      -3s  ✅  The Glory -  PHF
03:47:24 BLOC_A_SERIE_DU_JOUR              5m58s      5m55s      -3s  ✅  In Jesus - PHF
03:53:19 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
03:53:29 BLOC_A_SERIE_DU_JOUR              5m49s      5m47s      -2s  ✅  Luc 19
03:59:16 BLOC_A_SERIE_DU_JOUR              5m57s      5m56s      -1s  ✅  Luc 20
04:05:12 BLOC_A_SERIE_DU_JOUR              5m02s      4m59s      -3s  ✅  Luc 21
04:10:11 BLOC_A_SERIE_DU_JOUR              9m03s      9m00s      -3s  ✅  Luc 22
04:19:11 BLOC_A_SERIE_DU_JOUR              6m58s      6m55s      -3s  ✅  Luc 23
04:26:06 BLOC_A_SERIE_DU_JOUR              6m18s      6m16s      -2s  ✅  Luc 24
04:32:22 BLOC_A_SERIE_DU_JOUR              1m41s      1m38s      -3s  ✅  1 Chroniques 20
04:34:00 BLOC_A_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  1 Chroniques 21
04:39:19 BLOC_A_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant louange 06 que la louange seleve
04:39:26 BLOC_A_SERIE_DU_JOUR              4m52s      4m51s      -1s  ✅  cantique   prends tout le contrôle
04:44:17 BLOC_A_SERIE_DU_JOUR             11m54s     11m52s      -2s  ✅  Great & Marvelluos - Toronto HF
04:56:09 BLOC_A_SERIE_DU_JOUR              5m45s      5m41s      -4s  ✅  Ella Samuels - Oh Lord Our Maker
05:01:50 BLOC_A_SERIE_DU_JOUR              4m21s      4m19s      -2s  ✅  Sing Hallelujah - Abuja HF
05:06:09 BLOC_A_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
05:11:58 BLOC_A_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Jesus I'm Waiting for You (Mary Umoh)
05:17:45 BLOC_A_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
05:23:47 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
05:29:51 BLOC_A_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
05:36:52 BLOC_A_SERIE_DU_JOUR              9m04s      9m01s      -3s  ✅  You're the Lamb - Calabar HF
05:45:53 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
05:46:03 BLOC_A_SERIE_DU_JOUR              4m32s      4m29s      -3s  ✅  Juges 4
05:50:32 BLOC_A_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Juges 5
05:55:44 BLOC_A_SERIE_DU_JOUR              7m41s      7m38s      -3s  ✅  Juges 6
06:03:22 BLOC_B_SERIE_DU_JOUR              0m10s      0m11s      +1s  ✅  jingle avant message 01 voici le message du jour
06:03:33 BLOC_B_SERIE_DU_JOUR              9m42s      9m46s      +4s  ✅  2020 tian le pardon 5
06:13:19 BLOC_B_SERIE_DU_JOUR              4m27s      4m24s      -3s  ✅  Jude 1
06:17:43 BLOC_B_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Lamentations 1
06:22:50 BLOC_B_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Lamentations 2
06:28:02 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Lamentations 3
06:34:02 BLOC_B_SERIE_DU_JOUR              3m56s      3m53s      -3s  ✅  Lamentations 4
