====================================================================================================
MONITEUR RADIO — 2026-08-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 147 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:29  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:29  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:37  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:22  🌐 échec réseau AzuraCast/Liquidsoap  (×140)
RESET MINUIT : restart confirmé vers 00:02:11 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:43  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:37 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-10 (heures UTC)
300 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
03:23:48 BLOC_A_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
03:33:16 BLOC_A_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  My Heart Rejoices - Toronto HF
03:41:35 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Crown Him Lord of Lords - Nonso Njoku
03:47:34 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
03:47:44 BLOC_A_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  1 Samuel 28
03:52:05 BLOC_A_SERIE_DU_JOUR              2m02s      1m59s      -3s  ✅  1 Samuel 29
03:54:04 BLOC_A_SERIE_DU_JOUR              4m57s      4m54s      -3s  ✅  1 Samuel 30
03:58:58 BLOC_A_SERIE_DU_JOUR              2m02s      2m00s      -2s  ✅  1 Samuel 31
04:00:58 BLOC_A_SERIE_DU_JOUR              4m02s      3m59s      -3s  ✅  Esther 1
04:04:57 BLOC_A_SERIE_DU_JOUR              4m44s      4m41s      -3s  ✅  Esther 2
04:09:38 BLOC_A_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Esther 3
04:12:52 BLOC_A_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Esther 4
04:15:45 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Esther 5
04:18:28 BLOC_A_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Esther 6
04:21:09 BLOC_A_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  Esther 7
04:23:24 BLOC_A_SERIE_DU_JOUR              3m44s      3m41s      -3s  ✅  Esther 8
04:27:05 BLOC_A_SERIE_DU_JOUR              5m31s      5m29s      -2s  ✅  Esther 9
04:32:34 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
04:32:42 BLOC_A_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
04:38:27 BLOC_A_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
04:42:38 BLOC_A_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
04:48:55 BLOC_A_SERIE_DU_JOUR              7m51s      7m48s      -3s  ✅  There is no name  - Winnipeg Fellowship
04:56:43 BLOC_A_SERIE_DU_JOUR              4m53s      4m50s      -3s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
05:01:33 BLOC_A_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
05:07:27 BLOC_A_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
05:13:58 BLOC_A_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
05:20:05 BLOC_A_SERIE_DU_JOUR              6m09s      6m08s      -1s  ✅  Hymne des vainqueurs
05:26:13 BLOC_A_SERIE_DU_JOUR              7m19s      7m16s      -3s  ✅  You Have sworn By Your Holiness - Chidera Bisong
05:33:29 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
05:33:39 BLOC_A_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Sophonie 1
05:36:33 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Sophonie 2
05:39:16 BLOC_A_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Sophonie 3
05:43:00 BLOC_A_SERIE_DU_JOUR              4m37s      4m34s      -3s  ✅  1 Corinthiens 1
05:47:34 BLOC_A_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  1 Corinthiens 2
05:50:15 BLOC_A_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  1 Corinthiens 3
05:53:38 BLOC_A_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
05:53:50 BLOC_A_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
05:57:00 BLOC_A_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
06:05:35 BLOC_B_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
06:05:45 BLOC_B_SERIE_DU_JOUR             26m50s     26m48s      -2s  ✅  la moisson 1 adé
06:32:33 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
06:32:44 BLOC_B_SERIE_DU_JOUR              6m58s      6m55s      -3s  ✅  Luc 23
06:39:39 BLOC_B_SERIE_DU_JOUR              6m18s      6m16s      -2s  ✅  Luc 24
06:45:55 BLOC_B_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  2 Jean 1
06:48:00 BLOC_B_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
06:50:37 BLOC_B_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Habacuc 2
