====================================================================================================
MONITEUR RADIO — 2026-07-24 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 214 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:20  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:25  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:19  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:29:57  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:32:04  🌐 échec réseau AzuraCast/Liquidsoap  (×206)
RESET MINUIT : restart confirmé vers 00:02:04 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:30  TROU 101s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:25 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   18:10:02  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:38  COUPÉ 230s « Cantiques  Il a pris mes iniquités »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-24 (heures UTC)
314 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
03:22:45 BLOC_A_SERIE_DU_JOUR              5m50s      5m48s      -2s  ✅  Jesus I'm Waiting for You (Mary Umoh)
03:28:33 BLOC_A_SERIE_DU_JOUR              7m18s      7m15s      -3s  ✅  Holy is the Lord (Emmanuel Umoh)
03:35:48 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
03:40:38 BLOC_A_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
03:46:40 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
03:46:50 BLOC_A_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
03:49:27 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Habacuc 2
03:52:48 BLOC_A_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  Habacuc 3
03:55:57 BLOC_A_SERIE_DU_JOUR              4m37s      4m35s      -2s  ✅  1 Corinthiens 1
04:00:32 BLOC_A_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  1 Corinthiens 2
04:03:12 BLOC_A_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  1 Corinthiens 3
04:06:35 BLOC_A_SERIE_DU_JOUR              3m40s      3m39s      -1s  ✅  1 Corinthiens 4
04:10:14 BLOC_A_SERIE_DU_JOUR              2m17s      2m14s      -3s  ✅  1 Corinthiens 5
04:12:28 BLOC_A_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  1 Corinthiens 6
04:15:44 BLOC_A_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  1 Corinthiens 7
04:22:10 BLOC_A_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  1 Corinthiens 8
04:24:12 BLOC_A_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  1 Corinthiens 9
04:28:18 BLOC_A_SERIE_DU_JOUR              4m48s      4m54s      +6s  ✅  1 Corinthiens 10
04:33:12 BLOC_A_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
04:37:28 BLOC_A_SERIE_DU_JOUR              7m36s      7m34s      -2s  ✅  There Is No Lie - SWBN TV
04:45:02 BLOC_A_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
04:49:20 BLOC_A_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  How Precious Oh Lord
04:55:02 BLOC_A_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
04:57:15 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Ascribe Greatness - PHF
05:01:17 BLOC_A_SERIE_DU_JOUR              8m18s      8m15s      -3s  ✅  Yahweh Is Mighty - SWBN TV
05:09:32 BLOC_A_SERIE_DU_JOUR              5m22s      5m20s      -2s  ✅  God's Got An Army - PHF
05:14:52 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Guide Me - El ELyon - Abuja HF
05:19:54 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Crown Him Lord of Lords - Nonso Njoku
05:25:53 BLOC_A_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Igwe
05:31:01 BLOC_A_SERIE_DU_JOUR              3m22s      3m29s      +7s  ✅  Ses cheveux étaient blancs..
05:34:30 BLOC_A_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  1 Rois 16
05:40:40 BLOC_A_SERIE_DU_JOUR              4m12s      4m09s      -3s  ✅  1 Rois 17
05:44:49 BLOC_A_SERIE_DU_JOUR              8m27s      8m25s      -2s  ✅  1 Rois 18
05:53:14 BLOC_A_SERIE_DU_JOUR              4m43s      4m40s      -3s  ✅  1 Rois 19
05:57:54 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
05:58:04 BLOC_A_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
06:04:11 BLOC_B_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant message 03 vous ecoutez parole prophetique fm
06:04:17 BLOC_B_SERIE_DU_JOUR              9m45s      9m49s      +4s  ✅  amc tian combat spirituel 1
06:14:06 BLOC_B_SERIE_DU_JOUR              6m58s      6m56s      -2s  ✅  2 Rois 10
06:21:02 BLOC_B_SERIE_DU_JOUR              4m05s      4m02s      -3s  ✅  2 Rois 11
06:25:04 BLOC_B_SERIE_DU_JOUR              4m08s      4m06s      -2s  ✅  2 Rois 12
06:29:10 BLOC_B_SERIE_DU_JOUR              4m37s      4m35s      -2s  ✅  2 Rois 13
06:33:45 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  2 Rois 14
06:38:49 BLOC_B_SERIE_DU_JOUR              6m21s      6m19s      -2s  ✅  2 Rois 15
06:45:08 BLOC_B_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  2 Rois 16
06:48:46 BLOC_B_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  2 Rois 17
06:56:01 BLOC_B_SERIE_DU_JOUR              7m15s      7m13s      -2s  ✅  2 Rois 18
07:03:14 BLOC_B_SERIE_DU_JOUR              7m03s      7m01s      -2s  ✅  2 Rois 19
07:10:15 BLOC_B_SERIE_DU_JOUR              4m05s      4m02s      -3s  ✅  2 Rois 20
07:14:17 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
07:14:28 BLOC_B_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  The Lord is my Light and Salvation - Nonso Njoku
07:17:29 BLOC_B_SERIE_DU_JOUR              6m15s      6m13s      -2s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
07:23:42 BLOC_B_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
07:29:00 BLOC_B_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  In the Day of Your Power  - Winnipeg Fellowship
07:37:18 BLOC_B_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  Good God - Asaba Fellowship
07:43:22 BLOC_B_SERIE_DU_JOUR              8m10s      8m08s      -2s  ✅  Agunechemba - SWBN TV
07:51:30 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
07:56:20 BLOC_B_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  You're the Lamb (Abasiama Timothy)
08:03:26 BLOC_B_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  cantique  heureux l homme qui ne marche pas selon
08:05:43 BLOC_B_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
08:08:53 BLOC_B_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
08:14:10 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
08:14:21 BLOC_B_SERIE_DU_JOUR              3m52s      3m49s      -3s  ✅  Apocalypse 11
08:18:10 BLOC_B_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Apocalypse 12
08:21:29 BLOC_B_SERIE_DU_JOUR              3m32s      3m30s      -2s  ✅  Apocalypse 13
08:24:59 BLOC_B_SERIE_DU_JOUR              4m26s      4m23s      -3s  ✅  Apocalypse 14
08:29:22 BLOC_B_SERIE_DU_JOUR              1m38s      1m36s      -2s  ✅  Apocalypse 15
08:30:58 BLOC_B_SERIE_DU_JOUR              3m30s      3m27s      -3s  ✅  Apocalypse 16
08:34:25 BLOC_B_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  Apocalypse 17
08:38:07 BLOC_B_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Apocalypse 18
08:43:20 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
08:43:29 BLOC_B_SERIE_DU_JOUR              8m24s      8m21s      -3s  ✅  Bless Ye the Lord - PHF
08:51:50 BLOC_B_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  I Choose the Way of the Lord - Abuja HF
08:55:55 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
09:00:59 BLOC_B_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  The Lord on High is Mightier - Toronto HF
09:07:54 BLOC_B_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
09:12:05 BLOC_B_SERIE_DU_JOUR              7m37s      7m34s      -3s  ✅  Cantiques  Il a pris mes iniquités
09:19:39 BLOC_B_SERIE_DU_JOUR             10m35s     10m33s      -2s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
09:30:12 BLOC_B_SERIE_DU_JOUR              6m35s      6m32s      -3s  ✅  cantique   ta lumière
09:36:44 BLOC_B_SERIE_DU_JOUR              8m12s      8m18s      +6s  ✅  Jesus is Alpha - PHF
09:45:02 BLOC_B_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  Psaumes 105
09:48:49 BLOC_B_SERIE_DU_JOUR              4m35s      4m33s      -2s  ✅  Psaumes 106
09:53:22 BLOC_B_SERIE_DU_JOUR              4m01s      3m58s      -3s  ✅  Psaumes 107
09:57:20 BLOC_B_SERIE_DU_JOUR              1m20s      1m17s      -3s  ✅  Psaumes 108
09:58:37 BLOC_B_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Psaumes 109
10:01:31 BLOC_B_SERIE_DU_JOUR              0m50s      0m48s      -2s  ✅  Psaumes 110
10:02:19 BLOC_B_SERIE_DU_JOUR              1m06s      1m03s      -3s  ✅  Psaumes 111
10:03:22 BLOC_B_SERIE_DU_JOUR              1m09s      1m06s      -3s  ✅  Psaumes 112
10:04:28 BLOC_B_SERIE_DU_JOUR              0m51s      0m49s      -2s  ✅  Psaumes 113
10:05:17 BLOC_B_SERIE_DU_JOUR              0m45s      0m42s      -3s  ✅  Psaumes 114
10:05:59 BLOC_B_SERIE_DU_JOUR              1m49s      1m47s      -2s  ✅  Psaumes 115
10:07:46 BLOC_B_SERIE_DU_JOUR              1m49s      1m46s      -3s  ✅  Psaumes 116
10:09:32 BLOC_B_SERIE_DU_JOUR              0m16s      0m13s      -3s  ✅  Psaumes 117
10:09:45 BLOC_B_SERIE_DU_JOUR              2m49s      2m47s      -2s  ✅  Psaumes 118
10:12:32 BLOC_B_SERIE_DU_JOUR             14m57s     14m55s      -2s  ✅  Psaumes 119
10:27:27 BLOC_B_SERIE_DU_JOUR              0m37s      0m35s      -2s  ✅  Psaumes 120
