====================================================================================================
MONITEUR RADIO — 2026-08-18 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 262 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:59  🌐 échec réseau AzuraCast/Liquidsoap  (×257)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:29  TROU 92s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:23 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:21  COUPÉ 54s « Hosanna - Toronto HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-18 (heures UTC)
264 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
04:07:57 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Satisfy My Soul - Calabar HF
04:13:57 BLOC_A_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
04:20:35 BLOC_A_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
04:20:42 BLOC_A_SERIE_DU_JOUR              3m57s      3m55s      -2s  ✅  Apocalypse 1
04:24:37 BLOC_A_SERIE_DU_JOUR              5m23s      5m20s      -3s  ✅  Apocalypse 2
04:29:57 BLOC_A_SERIE_DU_JOUR              4m16s      4m14s      -2s  ✅  Apocalypse 3
04:34:11 BLOC_A_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Apocalypse 4
04:36:40 BLOC_A_SERIE_DU_JOUR              2m51s      2m48s      -3s  ✅  Apocalypse 5
04:39:28 BLOC_A_SERIE_DU_JOUR              3m33s      3m31s      -2s  ✅  Apocalypse 6
04:42:59 BLOC_A_SERIE_DU_JOUR              3m14s      3m12s      -2s  ✅  Apocalypse 7
04:46:11 BLOC_A_SERIE_DU_JOUR              2m36s      2m33s      -3s  ✅  Apocalypse 8
04:48:44 BLOC_A_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  Apocalypse 9
04:52:31 BLOC_A_SERIE_DU_JOUR              2m14s      2m11s      -3s  ✅  Apocalypse 10
04:54:42 BLOC_A_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  Apocalypse 11
04:58:32 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
04:58:40 BLOC_A_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
05:05:13 BLOC_A_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  You're the Lamb (Abasiama Timothy)
05:12:19 BLOC_A_SERIE_DU_JOUR              8m31s      8m29s      -2s  ✅  Holy Holy - Abuja HF
05:20:48 BLOC_A_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  Ella Samuels - Oh Lord Our Maker
05:26:30 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
05:29:51 BLOC_A_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  The King is Here (Abasiama Timothy)
05:36:01 BLOC_A_SERIE_DU_JOUR              4m13s      4m11s      -2s  ✅  4 minutes
05:40:12 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
05:45:14 BLOC_A_SERIE_DU_JOUR              7m37s      7m33s      -4s  ✅  Cantiques  Il a pris mes iniquités
05:52:47 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
05:52:57 BLOC_A_SERIE_DU_JOUR              3m52s      3m49s      -3s  ✅  Deutéronome 21
05:56:46 BLOC_A_SERIE_DU_JOUR              4m30s      4m28s      -2s  ✅  Deutéronome 22
06:01:14 BLOC_B_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
06:01:24 BLOC_B_SERIE_DU_JOUR           1h13m29s   1h13m27s      -2s  ✅  nous faire part 4
07:14:51 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
07:15:02 BLOC_B_SERIE_DU_JOUR              4m52s      4m49s      -3s  ✅  Hébreux 7
07:19:51 BLOC_B_SERIE_DU_JOUR              2m45s      2m42s      -3s  ✅  Hébreux 8
07:22:33 BLOC_B_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Hébreux 9
07:27:45 BLOC_B_SERIE_DU_JOUR              5m29s      5m26s      -3s  ✅  Hébreux 10
07:33:11 BLOC_B_SERIE_DU_JOUR              6m47s      6m44s      -3s  ✅  Hébreux 11
07:39:55 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Hébreux 12
07:44:57 BLOC_B_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Hébreux 13
07:48:30 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  Aggée 1
07:51:11 BLOC_B_SERIE_DU_JOUR              3m58s      3m56s      -2s  ✅  Aggée 2
07:55:07 BLOC_B_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Tite 1
07:57:47 BLOC_B_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  Tite 2
07:59:54 BLOC_B_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Tite 3
08:02:14 BLOC_B_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  2 Chroniques 32
08:08:31 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
08:08:39 BLOC_B_SERIE_DU_JOUR              9m38s      9m35s      -3s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
08:18:14 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
08:23:18 BLOC_B_SERIE_DU_JOUR              6m59s      6m57s      -2s  ✅  Hosanna - Toronto HF
08:30:15 BLOC_B_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
08:38:37 BLOC_B_SERIE_DU_JOUR             10m24s     10m21s      -3s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
08:48:58 BLOC_B_SERIE_DU_JOUR              9m24s      9m22s      -2s  ✅  I See Your Face - Toronto HF
08:58:20 BLOC_B_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
08:58:27 BLOC_B_SERIE_DU_JOUR              8m00s      7m57s      -3s  ✅  2 Samuel 19
09:06:24 BLOC_B_SERIE_DU_JOUR              4m59s      4m57s      -2s  ✅  2 Samuel 20
09:11:21 BLOC_B_SERIE_DU_JOUR              4m28s      4m26s      -2s  ✅  2 Samuel 21
09:15:47 BLOC_B_SERIE_DU_JOUR              5m50s      5m48s      -2s  ✅  2 Samuel 22
09:21:35 BLOC_B_SERIE_DU_JOUR              5m49s      5m55s      +6s  ✅  2 Samuel 23
09:27:30 BLOC_B_SERIE_DU_JOUR              5m13s      5m11s      -2s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
09:32:41 BLOC_B_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  qui est digne d ouvrir le livre
09:39:35 BLOC_B_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
09:44:12 BLOC_B_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
09:49:57 BLOC_B_SERIE_DU_JOUR              5m22s      5m20s      -2s  ✅  God's Got An Army - PHF
09:55:17 BLOC_B_SERIE_DU_JOUR              8m30s      8m27s      -3s  ✅  We Worship Adonai - PHF
10:03:44 BLOC_B_SERIE_DU_JOUR              7m04s      7m02s      -2s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
10:10:46 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
10:15:04 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
10:15:11 BLOC_B_SERIE_DU_JOUR              3m09s      3m06s      -3s  ✅  2 Timothée 4
10:18:17 BLOC_B_SERIE_DU_JOUR              1m49s      1m47s      -2s  ✅  1 Thessaloniciens 1
10:20:04 BLOC_B_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Thessaloniciens 2
10:23:30 BLOC_B_SERIE_DU_JOUR              2m13s      2m10s      -3s  ✅  1 Thessaloniciens 3
10:25:40 BLOC_B_SERIE_DU_JOUR              3m03s      3m01s      -2s  ✅  1 Thessaloniciens 4
10:28:41 BLOC_B_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  1 Thessaloniciens 5
10:31:42 BLOC_B_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Esther 3
10:34:57 BLOC_B_SERIE_DU_JOUR              2m55s      2m52s      -3s  ✅  Esther 4
10:37:49 BLOC_B_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Esther 5
10:40:32 BLOC_B_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Esther 6
10:43:13 BLOC_B_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  Esther 7
10:45:28 BLOC_B_SERIE_DU_JOUR              3m44s      3m42s      -2s  ✅  Esther 8
10:49:10 BLOC_B_SERIE_DU_JOUR              5m31s      5m28s      -3s  ✅  Esther 9
10:54:38 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
10:54:48 BLOC_B_SERIE_DU_JOUR              6m34s      6m32s      -2s  ✅  cantique  béni soit le dieu d israël
11:01:20 BLOC_B_SERIE_DU_JOUR              6m07s      6m04s      -3s  ✅  There Is Forgiveness In Thee - SWBN TV
11:07:24 BLOC_B_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Le Bien-Etre Universel
11:13:50 BLOC_B_SERIE_DU_JOUR              6m19s      6m18s      -1s  ✅  Unto Him - CHF
11:20:08 BLOC_B_SERIE_DU_JOUR              7m09s      7m05s      -4s  ✅  My God Is Good - Winnipeg Fellowship
11:27:13 BLOC_B_SERIE_DU_JOUR              7m57s      7m56s      -1s  ✅  Yahweh is Mighty (Imah Adegoke)
