====================================================================================================
MONITEUR RADIO — 2026-08-18 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 262 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:59  🌐 échec réseau AzuraCast/Liquidsoap  (×257)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:29  TROU 92s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:23 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:21  COUPÉ 54s « Hosanna - Toronto HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-18 (heures UTC)
264 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
17:02:52 BLOC_C_SERIE_DU_JOUR              7m25s      7m23s      -2s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
17:10:15 BLOC_C_SERIE_DU_JOUR             10m35s     10m31s      -4s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
17:20:46 BLOC_C_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
17:29:05 BLOC_C_SERIE_DU_JOUR              4m03s      4m00s      -3s  ✅  I Will Not Be Silent - Calabar HF
17:33:05 BLOC_C_SERIE_DU_JOUR             10m38s     10m36s      -2s  ✅  Be Exalted - PHF
17:43:41 BLOC_C_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
17:43:53 BLOC_C_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Genèse 25
17:49:00 BLOC_C_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Genèse 26
17:54:46 BLOC_C_SERIE_DU_JOUR              8m00s      7m57s      -3s  ✅  Genèse 27
18:02:43 BLOC_D_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
18:02:53 BLOC_D_SERIE_DU_JOUR           1h13m29s   1h13m27s      -2s  ✅  nous faire part 4
19:16:20 BLOC_D_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
19:16:28 BLOC_D_SERIE_DU_JOUR              3m20s      3m18s      -2s  ✅  Josué 1
19:19:46 BLOC_D_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Josué 2
19:23:58 BLOC_D_SERIE_DU_JOUR              3m11s      3m08s      -3s  ✅  Josué 3
19:27:06 BLOC_D_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  Josué 4
19:30:48 BLOC_D_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  Josué 5
19:33:42 BLOC_D_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Josué 6
19:38:55 BLOC_D_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  Josué 7
19:44:14 BLOC_D_SERIE_DU_JOUR              6m27s      6m24s      -3s  ✅  Josué 8
19:50:38 BLOC_D_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  Josué 9
19:55:14 BLOC_D_SERIE_DU_JOUR              8m04s      8m01s      -3s  ✅  Josué 10
20:03:15 BLOC_D_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
20:03:23 BLOC_D_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
20:05:36 BLOC_D_SERIE_DU_JOUR              6m54s      6m52s      -2s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
20:12:28 BLOC_D_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
20:22:51 BLOC_D_SERIE_DU_JOUR              7m21s      7m19s      -2s  ✅  For By My God - Toronto & Winnipeg HF
20:30:10 BLOC_D_SERIE_DU_JOUR              7m17s      7m14s      -3s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
20:37:24 BLOC_D_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
20:41:40 BLOC_D_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
20:46:30 BLOC_D_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
20:46:40 BLOC_D_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
20:49:51 BLOC_D_SERIE_DU_JOUR              2m15s      2m13s      -2s  ✅  1 Pierre 5
20:52:04 BLOC_D_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Osée 1
20:54:05 BLOC_D_SERIE_DU_JOUR              3m29s      3m27s      -2s  ✅  Osée 2
20:57:32 BLOC_D_SERIE_DU_JOUR              0m57s      0m54s      -3s  ✅  Osée 3
20:58:26 BLOC_D_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Osée 4
21:01:20 BLOC_D_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  Osée 5
21:03:41 BLOC_D_SERIE_DU_JOUR              1m32s      1m30s      -2s  ✅  Osée 6
21:05:11 BLOC_D_SERIE_DU_JOUR              2m27s      2m24s      -3s  ✅  Osée 7
21:07:35 BLOC_D_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Osée 8
21:09:38 BLOC_D_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
21:09:46 BLOC_D_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
21:14:52 BLOC_D_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Forever You Reign - Abuja HF
21:20:38 BLOC_D_SERIE_DU_JOUR              7m46s      7m43s      -3s  ✅  Arise Out of Zion  - Winnipeg Fellowship
21:28:21 BLOC_D_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
21:32:00 BLOC_D_SERIE_DU_JOUR             11m53s     11m50s      -3s  ✅  Hashem - PHF
21:43:50 BLOC_D_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
21:47:10 BLOC_D_SERIE_DU_JOUR              7m19s      7m16s      -3s  ✅  You Have sworn By Your Holiness - Chidera Bisong
21:54:26 BLOC_D_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
21:54:33 BLOC_D_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
21:57:38 BLOC_D_SERIE_DU_JOUR              5m41s      5m39s      -2s  ✅  Joël 2
22:03:17 BLOC_D_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
22:06:50 BLOC_D_SERIE_DU_JOUR              3m59s      3m56s      -3s  ✅  Néhémie 8
22:10:46 BLOC_D_SERIE_DU_JOUR              7m47s      7m44s      -3s  ✅  Néhémie 9
22:18:30 BLOC_D_SERIE_DU_JOUR              4m36s      4m34s      -2s  ✅  Néhémie 10
22:23:04 BLOC_D_SERIE_DU_JOUR              4m55s      4m52s      -3s  ✅  Néhémie 11
22:27:56 BLOC_D_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
22:28:07 BLOC_D_SERIE_DU_JOUR              5m04s      5m01s      -3s  ✅  Guide Me - El ELyon - Abuja HF
22:33:08 BLOC_D_SERIE_DU_JOUR              8m41s      8m38s      -3s  ✅  Unto Him (Vincent Opara)
22:41:46 BLOC_D_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Crown Him Lord of Lords - Nonso Njoku
22:47:46 BLOC_D_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
22:53:53 BLOC_D_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  Immortal God - Elohim Adonai - Abuja HF
23:00:03 BLOC_D_SERIE_DU_JOUR             11m01s     10m59s      -2s  ✅  Great is, Ascribe - Ketu HF
23:11:02 BLOC_D_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
23:11:11 BLOC_D_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  2 Thessaloniciens 2
23:13:55 BLOC_D_SERIE_DU_JOUR              2m35s      2m33s      -2s  ✅  2 Thessaloniciens 3
23:16:28 BLOC_D_SERIE_DU_JOUR              5m29s      5m26s      -3s  ✅  Daniel 7
23:21:54 BLOC_D_SERIE_DU_JOUR              4m51s      4m49s      -2s  ✅  Daniel 8
23:26:43 BLOC_D_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
23:26:55 BLOC_D_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
23:36:16 BLOC_E_LOUANGE_NUIT               3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
23:39:55 BLOC_E_LOUANGE_NUIT               3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
23:43:15 BLOC_E_LOUANGE_NUIT               6m02s      5m59s      -3s  ✅  Crown Him Lord of Lords - Nonso Njoku
23:49:14 BLOC_E_LOUANGE_NUIT               6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
23:55:21 BLOC_E_LOUANGE_NUIT               6m59s      6m05s     -54s  ❌ COUPÉ  Hosanna - Toronto HF
----------------------------------------------------------------------------------------------------
Bilan : 264 titres, 2 anomalie(s) (titre coupé de plus de 10s ou trou d'antenne). Gravité : 1 mineure(s) <1min · 1 sérieuse(s) 1-10min · 0 critique(s) >10min.

====================================================================================================
CONTRÔLES APPROFONDIS
====================================================================================================
MESSAGE DU JOUR « ACR Angora en ce jour-là part 4 » : 4 diffusion(s) pour 4 prévue(s) ✅
   00:03:10  (étiquette BLOC_A_SERIE_DU_JOUR)
   06:01:24  (étiquette BLOC_B_SERIE_DU_JOUR)
   12:03:09  (étiquette BLOC_C_SERIE_DU_JOUR)
   18:02:53  (étiquette BLOC_D_SERIE_DU_JOUR)
JINGLES : 32 joués / 36 prévus (89%) ⚠️   ·   BLOC_A 8/9 · BLOC_B 7/9 · BLOC_C 8/9 · BLOC_D 9/9
HORS FENÊTRE : aucun débordement de bloc détecté ✅
BOUCHE-TROUS : aucun ✅
COUVERTURE : premier titre à 00:01:29 ✅ · dernier titre finit vers 00:02:20 (estimé) ✅

====================================================================================================
RÉEL vs PRÉVU — ce qui a joué vs ce que le plan prévoyait
====================================================================================================
----------------------------------------------------------------------------------------------------
BLOC_A  (00:00-06:00)  prévus  80 · atteignables  71 · joués  71 · conformité 100% · sautés  0 · en trop  0
   ⏸️  FIN DE BLOC NON ATTEINTE (9 titres · ~31m32s) — marge anti-rebouclage au-delà de la fenêtre, normal : Deutéronome 23 · Deutéronome 24 · Deutéronome 25 · jingle id station 01 la bonne nouvelle partout · cantique  heureux l homme qui ne marche pas selon · Now is Come Salvation - Toronto HF  …(+3)
----------------------------------------------------------------------------------------------------
BLOC_B  (06:00-12:00)  prévus  70 · atteignables  66 · joués  65 · conformité  98% · sautés  1 · en trop  0
   ⏭️  PRÉVU NON JOUÉ : jingle avant louange 05 elevons nos coeurs vers dieu
   ⏸️  FIN DE BLOC NON ATTEINTE (4 titres · ~20m32s) — marge anti-rebouclage au-delà de la fenêtre, normal : jingle id station 03 notre mission annonce levangile · Bless Ye the Lord - PHF · Song Of Victory - Emmanuel Igunbor · There is no name  - Winnipeg Fellowship
----------------------------------------------------------------------------------------------------
BLOC_C  (12:00-18:00)  prévus  67 · atteignables  61 · joués  61 · conformité 100% · sautés  0 · en trop  0
   ⏸️  FIN DE BLOC NON ATTEINTE (6 titres · ~25m24s) — marge anti-rebouclage au-delà de la fenêtre, normal : JINGLE · jai donné ma vie à jésus (1) · There is A Mighty River Flowing - Ketu HF · Ascribe Greatness - PHF · I Choose the Way of the Lord - Abuja HF · Cantique l Éternel est mon Berger (1)
----------------------------------------------------------------------------------------------------
BLOC_D  (18:00-23:30)  prévus  64 · atteignables  62 · joués  62 · conformité 100% · sautés  0 · en trop  0
   ⏸️  FIN DE BLOC NON ATTEINTE (2 titres · ~13m10s) — marge anti-rebouclage au-delà de la fenêtre, normal : God is Building - Will You Be - Ketu HF · He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
----------------------------------------------------------------------------------------------------
CONFORMITÉ GLOBALE : 259/260 titres atteignables joués dans l'ordre = 100%  (0 titre(s) hors plan · 21 non atteint(s) en fin de bloc, marge normale)
