====================================================================================================
MONITEUR RADIO — 2026-08-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 21 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×17)
   23:59:57  🔇 bascule sur jingle d'erreur (silence potentiel)
RESET MINUIT : restart confirmé vers 00:02:05 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:34  TROU 130s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-23 (heures UTC)
258 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:34 BLOC_A_SERIE_DU_JOUR              0m11s      2m21s    +130s  ⚠️ TROU APRÈS  jingle avant message 05 vous etes a lecoute de levangile du royaume
04:30:56 BLOC_A_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  Romains 9
04:35:33 BLOC_A_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Romains 10
04:38:37 BLOC_A_SERIE_DU_JOUR              5m37s      5m34s      -3s  ✅  Romains 11
04:44:11 BLOC_A_SERIE_DU_JOUR              3m06s      3m03s      -3s  ✅  Romains 12
04:47:14 BLOC_A_SERIE_DU_JOUR              2m36s      2m33s      -3s  ✅  Romains 13
04:49:47 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
04:49:55 BLOC_A_SERIE_DU_JOUR              5m45s      5m43s      -2s  ✅  How Precious Oh Lord
04:55:38 BLOC_A_SERIE_DU_JOUR             10m25s     10m22s      -3s  ✅  Holy Are You - PHF
05:06:00 BLOC_A_SERIE_DU_JOUR              4m11s      4m10s      -1s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
05:10:10 BLOC_A_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Yahweh Be Praised - Abuja HF
05:15:22 BLOC_A_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
05:22:16 BLOC_A_SERIE_DU_JOUR              8m18s      8m15s      -3s  ✅  Yahweh Is Mighty - SWBN TV
05:30:31 BLOC_A_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
05:35:49 BLOC_A_SERIE_DU_JOUR              6m15s      6m13s      -2s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
05:42:02 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 01 la bonne nouvelle partout
05:42:12 BLOC_A_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  Job 1
05:45:50 BLOC_A_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  Job 2
05:47:55 BLOC_A_SERIE_DU_JOUR              2m26s      2m23s      -3s  ✅  Job 3
05:50:18 BLOC_A_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  Job 4
05:52:20 BLOC_A_SERIE_DU_JOUR              2m27s      2m25s      -2s  ✅  Job 5
05:54:45 BLOC_A_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  Job 6
05:57:39 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
05:57:49 BLOC_A_SERIE_DU_JOUR              9m24s      9m22s      -2s  ✅  I See Your Face - Toronto HF
06:07:11 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
06:07:19 BLOC_B_SERIE_DU_JOUR           1h20m11s   1h20m08s      -3s  ✅  aps la moisson 20220219 4
07:27:27 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
07:27:38 BLOC_B_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Amos 9
07:30:32 BLOC_B_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Galates 6
07:33:15 BLOC_B_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Aggée 1
07:35:55 BLOC_B_SERIE_DU_JOUR              3m58s      3m56s      -2s  ✅  Aggée 2
07:39:51 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Hébreux 12
07:44:53 BLOC_B_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Hébreux 13
07:48:26 BLOC_B_SERIE_DU_JOUR              2m14s      2m12s      -2s  ✅  Ézéchiel 35
